assign-to(p5965, r4)
assign-to(p5962, r9576)
assign-to(p634, r8903)
assign-to(p632, r5237)
assign-to(p19510, r5567)
assign-to(p638, r4305)
assign-to(p3310, r7088)
assign-to(p623, r2878)
assign-to(p19501, r7879)
assign-to(p5943, r3854)
assign-to(p5946, r11360)
assign-to(p4613, r2141)
assign-to(p4614, r7142)
assign-to(p4617, r14706)
assign-to(p641, r7141)
assign-to(p5958, r8004)
assign-to(p4629, r11226)
assign-to(p4670, r4107)
assign-to(p3342, r2659)
assign-to(p3343, r8225)
assign-to(p3341, r7315)
assign-to(p4672, r13648)
assign-to(p3346, r2283)
assign-to(p2018, r13487)
assign-to(p4681, r6588)
assign-to(p2023, r6234)
assign-to(p662, r4427)
assign-to(p660, r2066)
assign-to(p4687, r5971)
assign-to(p4655, r4916)
assign-to(p3333, r8841)
assign-to(p2054, r4033)
assign-to(p2053, r370)
assign-to(p3384, r3125)
assign-to(p2057, r35)
assign-to(p3393, r14681)
assign-to(p2069, r4301)
assign-to(p3363, r423)
assign-to(p3366, r1413)
assign-to(p3371, r10752)
assign-to(p2045, r3610)
assign-to(p2044, r8218)
assign-to(p3298, r11033)
assign-to(p18284, r878)
assign-to(p18265, r11842)
assign-to(p18253, r6020)
assign-to(p18258, r7040)
assign-to(p19587, r8372)
assign-to(p18238, r2539)
assign-to(p18246, r11152)
assign-to(p19562, r7821)
assign-to(p18341, r7394)
assign-to(p18345, r11237)
assign-to(p716, r784)
assign-to(p709, r4424)
assign-to(p19661, r4713)
assign-to(p19660, r1053)
assign-to(p707, r12989)
assign-to(p731, r11632)
assign-to(p18305, r1696)
assign-to(p18304, r14506)
assign-to(p19640, r7828)
assign-to(p18312, r2640)
assign-to(p19643, r645)
assign-to(p728, r8980)
assign-to(p19626, r542)
assign-to(p19628, r8714)
assign-to(p4513, r5805)
assign-to(p4511, r6275)
assign-to(p4515, r9080)
assign-to(p759, r13950)
assign-to(p758, r3656)
assign-to(p19614, r7766)
assign-to(p19617, r13149)
assign-to(p4521, r2813)
assign-to(p742, r5271)
assign-to(p5857, r11819)
assign-to(p19602, r9104)
assign-to(p773, r13425)
assign-to(p772, r10670)
assign-to(p779, r447)
assign-to(p19601, r14861)
assign-to(p3223, r9936)
assign-to(p797, r5593)
